,atsuccH,atsuccA,atcntH,atcntA,blcntH,blcntA,svcntH,svcntA,errcntH,errcntA,digcntH,digcntA,rscntH,rscntA,setcntH,setcntA
60,43.1,38.0,15.5,14.25,4.0,2.5,0.75,1.75,6.75,5.0,17.75,19.75,7.25,8.75,15.0,13.25
61,38.8,42.0,14.25,15.0,1.75,2.75,1.25,0.75,6.25,4.5,19.0,19.0,8.0,6.25,13.5,13.5
62,44.4,38.5,17.33,14.0,2.67,2.33,1.0,0.33,4.0,4.0,22.0,19.67,5.67,5.0,16.67,13.67
63,36.3,33.8,14.25,13.25,1.75,3.75,1.25,1.5,6.0,5.5,22.75,24.0,7.5,8.5,13.25,13.0
64,44.5,38.3,17.25,14.25,3.25,1.0,1.25,1.0,4.5,3.0,21.75,20.25,7.5,8.75,16.0,13.5
65,51.7,40.7,15.5,14.25,2.75,1.5,1.5,1.0,4.75,4.25,15.5,15.75,6.5,7.5,15.25,13.25
66,45.7,31.6,17.67,12.33,2.67,1.0,1.67,1.67,2.67,3.0,25.0,22.33,7.33,6.0,17.0,12.0
67,50.6,37.5,14.33,10.0,3.33,1.0,2.33,0.67,4.33,5.0,14.33,15.0,4.67,6.0,12.0,10.0
68,40.9,49.6,13.0,17.5,2.5,1.25,0.0,1.25,4.0,5.75,15.75,18.25,6.0,8.0,12.75,15.75
69,37.7,39.8,13.8,14.0,2.2,2.0,0.8,0.8,5.4,5.4,19.6,19.6,8.0,8.4,13.0,13.4
70,37.1,43.0,12.0,12.33,0.33,4.33,1.0,2.0,6.33,3.0,16.67,15.33,4.67,6.67,12.0,11.67
71,38.0,41.4,15.33,16.0,1.67,1.33,1.33,1.33,7.0,4.33,22.67,22.0,5.67,6.67,15.0,15.0
72,36.1,39.0,14.0,16.75,1.75,3.25,0.5,0.75,3.25,4.75,22.0,26.75,6.75,6.25,13.5,15.75
73,35.5,28.3,16.5,12.75,2.5,2.75,1.25,1.5,5.0,4.25,31.25,28.0,8.5,9.0,16.5,12.25
74,48.1,34.7,16.67,11.67,2.0,0.67,1.67,1.0,4.33,4.67,23.33,17.67,8.33,7.0,15.0,11.33
75,34.4,40.0,13.5,16.0,1.75,2.5,1.0,0.75,4.75,5.5,23.75,26.0,4.5,8.5,12.25,15.25
76,29.3,34.5,12.0,12.75,1.25,2.25,0.75,1.75,7.5,5.0,23.5,23.5,7.25,8.25,11.5,12.25
77,39.3,42.3,13.75,16.5,3.5,2.25,1.0,1.25,4.0,4.5,18.25,19.75,8.5,10.25,13.5,15.25
78,31.8,43.8,11.33,16.33,0.33,2.67,0.0,1.33,4.67,5.67,21.0,24.33,6.0,7.0,10.67,15.67
79,35.2,39.3,13.6,14.4,1.4,3.4,1.4,0.8,3.6,5.0,22.0,22.2,7.2,5.6,12.6,14.2
80,43.6,39.8,14.67,15.0,4.33,0.67,1.33,0.67,4.67,6.67,15.67,20.0,7.67,9.0,14.33,15.0
81,37.7,31.5,14.33,13.67,3.0,2.0,0.67,0.33,4.33,7.0,26.33,24.33,5.33,6.67,13.67,13.67
82,39.1,24.8,12.5,8.0,2.0,3.0,3.75,0.75,6.0,6.0,18.5,18.25,6.5,5.0,12.25,7.25
83,34.2,29.3,13.5,12.0,1.5,4.75,1.25,1.0,5.75,4.5,26.0,24.5,8.5,6.75,12.75,11.25
84,47.0,32.7,15.67,11.0,3.33,0.67,0.67,0.33,3.67,5.33,20.33,15.33,5.33,8.33,14.0,10.67
85,27.0,40.6,10.0,14.33,2.33,3.33,0.67,1.0,6.33,6.0,17.67,22.0,7.67,6.0,9.0,13.67
86,34.8,38.0,13.33,15.33,1.33,3.0,0.67,2.0,4.67,4.67,21.67,26.67,4.67,9.0,12.67,15.0
87,34.1,34.6,12.6,12.6,2.2,4.4,0.6,0.8,4.4,4.6,23.6,22.0,8.8,6.4,11.8,12.0
88,34.0,47.7,10.67,13.67,1.67,5.0,0.33,1.33,5.0,4.33,15.0,16.0,5.0,7.33,10.0,13.0
89,50.0,38.5,16.0,11.67,1.67,2.33,2.0,0.33,4.33,5.33,13.67,13.67,9.67,6.67,14.67,10.67
90,40.3,34.1,16.0,14.5,1.75,0.75,1.0,0.0,6.0,4.75,26.25,24.75,7.25,10.0,15.5,13.5
91,35.8,50.4,12.0,14.25,1.75,3.25,0.75,1.75,5.25,3.25,15.0,15.75,9.25,7.5,12.0,13.5
92,39.0,43.3,11.4,13.0,2.2,2.4,2.0,0.6,4.0,5.2,16.0,14.6,8.6,5.4,11.2,12.0
93,30.1,37.8,13.0,14.75,0.75,2.25,1.0,1.5,5.75,4.25,26.25,25.75,6.0,9.0,12.25,13.5
94,51.0,39.2,16.33,12.67,3.33,2.0,0.67,0.33,4.33,4.67,15.67,16.0,8.67,7.33,15.33,12.33
95,41.4,41.4,16.0,16.0,2.67,1.33,2.0,0.67,3.33,4.33,22.0,23.0,8.0,11.0,15.0,15.33
96,44.4,40.2,16.0,15.0,3.67,1.33,0.67,1.0,5.0,6.0,18.67,20.0,7.33,11.67,15.67,14.33
97,36.2,32.7,14.75,13.0,2.0,1.25,2.0,0.75,5.5,4.5,27.0,23.75,6.0,7.75,13.75,12.5
98,33.3,33.5,14.5,15.25,2.75,2.75,1.25,0.75,6.0,5.0,26.5,25.25,8.5,10.25,14.0,13.5
99,46.2,34.8,16.75,11.5,2.25,1.0,0.75,1.0,6.75,3.75,22.0,20.0,8.0,4.5,15.25,10.75
100,40.2,31.0,17.67,13.0,2.33,2.33,0.33,0.67,3.67,4.67,29.33,23.67,9.0,9.33,17.67,12.67
101,42.4,53.1,13.0,17.0,1.0,1.33,0.67,0.33,6.33,4.67,13.33,18.67,6.67,9.0,12.33,16.33
102,36.3,35.2,10.6,11.2,2.8,2.4,1.2,0.4,5.0,6.6,18.0,16.0,5.0,6.4,9.8,10.0
103,44.4,29.6,16.0,10.67,2.67,1.0,1.33,1.0,5.0,5.0,22.67,19.33,5.0,5.33,15.67,10.0
104,45.0,29.3,16.33,12.0,3.33,1.33,1.33,1.33,3.67,4.0,22.0,22.67,10.0,8.33,15.33,11.33
105,57.1,35.0,17.33,11.67,3.33,2.67,1.67,0.67,2.33,3.67,18.0,14.33,7.67,7.67,16.33,11.67
106,39.0,34.9,14.2,13.6,2.0,2.4,0.8,0.4,4.2,5.0,22.2,23.4,10.2,7.6,13.2,12.2
107,35.4,32.7,14.0,14.0,3.25,2.0,1.5,1.25,5.75,5.25,22.5,24.0,5.0,7.25,13.25,13.25
108,45.4,40.5,14.75,15.0,3.0,2.5,1.0,0.75,4.75,6.0,16.0,18.25,7.5,6.5,13.25,14.75
109,37.3,33.9,12.67,12.67,2.67,1.67,2.33,0.67,5.33,7.33,17.33,21.67,8.67,7.33,12.33,12.33
110,40.4,37.4,13.75,12.25,4.5,2.5,1.0,1.0,4.25,6.0,17.5,15.0,8.25,8.0,12.75,12.0
111,28.3,33.6,10.67,13.0,2.67,2.0,1.33,1.67,8.33,6.33,21.67,25.33,6.33,6.33,10.67,12.67
